X,Y,CGNDB_ID,GEONAME,LANGUAGE,SYLLABIC,GENERIC,CATEGORY,CONCISE,FEATURE_ID,LOCATION,PROV_TERR,REL_SCALE,DECISION,SOURCE,icon_url
-117.9111111,52.7086111,IASNO,16 1/2 Mile Lake,Undetermined,,Lake,Water Feature,LAKE,96b3b559c6cb11d892e2080020a0f4c9,,Alberta,"50000",2002-09-21,Alberta Culture and Tourism,./0.png
-110.525,56.7513889,IASKY,3 Channels Area,Undetermined,,Channel,Water Feature,RIV,0cadee42849c20c3720fa00943b2bd5d,26-89-4-W4,Alberta,"50000",1991-09-04,Alberta Culture and Tourism,./0.png
-110.8905556,56.305,IASLL,49 Lake,Undetermined,,Lake,Water Feature,LAKE,0cadf192849c20c37fc96b661f70d643,"21,28-84-6-W4",Alberta,"50000",1991-09-04,Alberta Culture and Tourism,./0.png
-110.9436111,56.3138889,IASLJ,51 Lake,Undetermined,,Lake,Water Feature,LAKE,0cadf110849c20c379b76a56fd1654d6,30-84-6-W4,Alberta,"50000",1991-09-04,Alberta Culture and Tourism,./0.png
-110.9894444,56.3522222,IASLM,54 Lake,Undetermined,,Lake,Water Feature,LAKE,0cadf1d3849c20c337cb903525c1ad2c,2-11-85-7-W4,Alberta,"50000",1991-09-04,Alberta Culture and Tourism,./0.png
-110.9938889,56.3661111,IASLK,55 Lake,Undetermined,,Lake,Water Feature,LAKE,0cadf150849c20c317a686a4a08e391a,14-85-7-W4,Alberta,"50000",1991-09-04,Alberta Culture and Tourism,./0.png
-111.476111,59.525278,IBACK,ɂejere K'elni Kųe 196I,Undetermined,,Indian Reserve,Administrative Area,IR,82cc9304ee064ae68d45d70858b0ef59,,Alberta,"50000",2009-12-14,Indigenous and Northern Affairs Canada,./1.png
-112.5772222,57.7605555,IASTP,A-H Lake,Undetermined,,Lake,Water Feature,LAKE,0cae0f3a849c20c34e38129276e2a29a,17-101-16-W4,Alberta,"50000",1991-09-23,Alberta Culture and Tourism,./0.png
-114.93333,51.05,IAPUX,Abbeydale,Undetermined,,Urban Community,Populated Place,UNP,52649a39bbe111d892e2080020a0f4c9,Calgary,Alberta,"50000",,Alberta Culture and Tourism,./2.png
-116.2872222,51.3638889,IAPUY,Abbot Pass,Undetermined,,Pass,Terrain Feature,VALL,75133bebba3411d892e2080020a0f4c9,28-17-W5,Alberta,"50000",1952-04-03,Alberta Culture and Tourism,./3.png
-116.28917,51.363611,IATZR,Abbot Pass Refuge Cabin National Historic Site of Canada,Undetermined,,National Historic Site,Administrative Area,PARK,73e3204cba3411d892e2080020a0f4c9,,Alberta,"1000000",2001-01-12,Parks Canada,./1.png
-118.9980556,53.9172223,IAPVA,Abbott Creek,Undetermined,,Creek,Water Feature,RIV,0c89a9f1849c20c316cdebb1c251facf,57-7-W6,Alberta,"50000",1947-09-04,Alberta Culture and Tourism,./0.png
-113.38333,53.566667,IAPUZ,Abbottsfield,Undetermined,,Urban Community,Populated Place,UNP,526bc62abbe111d892e2080020a0f4c9,Edmonton,Alberta,"50000",,Alberta Culture and Tourism,./2.png
-113.0277778,54.2377778,IAECP,Abee,Undetermined,,Hamlet,Populated Place,UNP,0c841a31849c20c322b15794ef462391,1-61-21-W4,Alberta,"250000",1945-12-08,Alberta Culture and Tourism,./2.png
-116.2430556,51.3847223,IAQVM,Aberdeen Glacier,Undetermined,,Glacier,Ice and Snow Feature,GLAC,8affa514c6cb11d892e2080020a0f4c9,,Alberta,"50000",1985-01-21,Alberta Culture and Tourism,./4.png
-111.4861111,54.1083333,IAPVD,Abilene,Undetermined,,Locality,Populated Place,UNP,0cffd6c5849c20c34f5d9ccee4f349ec,18-59-10-W4,Alberta,"250000",1950-07-06,Alberta Culture and Tourism,./2.png
-116.4272222,52.2236111,IAECR,Abraham Lake,Undetermined,,Lake,Water Feature,LAKE,0c841ad5849c20c30a140ce52972183b,"37,38-17,18-W5",Alberta,"1000000",1975-10-30,Alberta Culture and Tourism,./0.png
