FAC_ID,FAC_NAME,OP_BA_ID,OPERATOR,SUB_CODE,FAC_SUB_TY,LIC_NUMBER,LIC_TYPE,EDCT_TYPE,EDCT_DESCR,LIC_BA_ID,LICENSEE,FAC_STATUS,LOC_SOURCE,icon_url
ABBT0044271,Pc Swan Hill 12-31,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"28301",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0046304,Petro Canada Swan Hills 10-28,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"14644",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT0062160,Aog Etal Swan Hills 14-35,0HE9,Canadian Natural Resources Limited,"311",Crude Oil Single-Well Battery,"14753",F,"320",Oil Single Bty <1t/d,A7G2,Ridgeback Resources Inc.,Suspended,Facility Licence,./0.png
ABBT0076081,Samson Swan Hills 10-12,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"14672",F,"321",Oil Multi Bty <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0079843,Swan Hills 11-27-66-11w5m Gas Multi,A663,Trident Exploration (Alberta) Corp.,"361",Gas Multiwell Group Battery,"30119",F,"020",Gas Multi Bty <0.01,0HE9,Canadian Natural Resources Limited,Suspended,Facility Licence,./0.png
ABBT0081811,Acl Hm Swb 10(11)-15-070-11w5/3,A6A7,Cardinal Energy Ltd.,"311",Crude Oil Single-Well Battery,"38740",F,"320",Oil Single Bty <1t/d,A6A7,Cardinal Energy Ltd.,Active,Facility Licence,./0.png
ABBT0082093,Swan Hills 10-12-67-11w5,A7L1,Razor Energy Corp.,"322",Crude Oil Multiwell Proration Battery,"14672",F,"321",Oil Multi Bty <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0111760,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"321",Crude Oil Multiwell Group Battery,"42188",F,"350",Oil Satellite <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0107820,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"41101",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT0110946,Pengrowth House Mtn 4-30-69-10w5,A7N3,Acquisition Oil Corp.,"321",Crude Oil Multiwell Group Battery,"42107",F,"321",Oil Multi Bty <1t/d,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT0124270,Pbn Et Al Swanh 8-16-69-9,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"45460",F,"321",Oil Multi Bty <1t/d,A7G2,Ridgeback Resources Inc.,Suspended,Facility Licence,./0.png
ABBT0129852,10-35 Proration Mwb,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"39105",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT0133367,Penn West Swan Hills 10-10 Oswb,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"47399",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0119584,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"321",Crude Oil Multiwell Group Battery,"43746",F,"350",Oil Satellite <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0121690,Cpec Swan Hills 3-36-67-11w5,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"44491",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT0122325,Cpec Swan Hills 14-09-069-10w5,A2J6,Crescent Point Energy Corp.,"322",Crude Oil Multiwell Proration Battery,"44640",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Suspended,Facility Licence,./0.png
ABBT0145308,Cpec Swanhills 14-09-069-10w5,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"44640",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT0125008,Pbn Hz Swanh 4-34-68-09w5,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"45602",F,"350",Oil Satellite <1t/d,A7G2,Ridgeback Resources Inc.,Suspended,Facility Licence,./0.png
ABBT0127103,Pbn Swanh 08-17-69-09w5 Mwob,A7G2,Ridgeback Resources Inc.,"322",Crude Oil Multiwell Proration Battery,"45460",F,"321",Oil Multi Bty <1t/d,A7G2,Ridgeback Resources Inc.,Active,Facility Licence,./0.png
ABBT0131305,Penn West Swan Hills 10-31 Oswb,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"46937",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT0131730,Lts Deer Mtn 6-3-69-9w5 Mwob,A7G2,Ridgeback Resources Inc.,"322",Crude Oil Multiwell Proration Battery,"46973",F,"321",Oil Multi Bty <1t/d,A7G2,Ridgeback Resources Inc.,Active,Facility Licence,./0.png
ABBT0132020,Cpec Swanhills 14-09-069-10w5,A2J6,Crescent Point Energy Corp.,"321",Crude Oil Multiwell Group Battery,"44640",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Suspended,Facility Licence,./0.png
ABBT8870020,Swan Hills 10-19-68-8w5,A74X,Aspenleaf Energy Limited,"322",Crude Oil Multiwell Proration Battery,"14740",F,"030",Oil Multi Bty <0.01,A74X,Aspenleaf Energy Limited,Active,Facility Licence,./0.png
ABBT8870059,Pci Swan Hills 10-15,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"38463",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT8870091,Colin Swan H Inverness 10-17,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"14760",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT8870123,Arcan Swanhills 3-32 Bty,A74X,Aspenleaf Energy Limited,"322",Crude Oil Multiwell Proration Battery,"14507",F,"030",Oil Multi Bty <0.01,A74X,Aspenleaf Energy Limited,Active,Facility Licence,./0.png
ABBT8870130,Swanhills 11-18-67-10w5 Bty #1,0HE9,Canadian Natural Resources Limited,"322",Crude Oil Multiwell Proration Battery,"14659",F,"421",Oil Multi Bty >=1t/d,0HE9,Canadian Natural Resources Limited,Active,Facility Licence,./0.png
ABBT8870138,Amoco Ap-1 Swanh 10-12,A7L1,Razor Energy Corp.,"322",Crude Oil Multiwell Proration Battery,"14672",F,"321",Oil Multi Bty <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0141903,Acl House Mountain 12-12-070-11w5,A6A7,Cardinal Energy Ltd.,"321",Crude Oil Multiwell Group Battery,"49209",F,"321",Oil Multi Bty <1t/d,A6A7,Cardinal Energy Ltd.,Active,Facility Licence,./0.png
ABBT8870076,Pci Swan Hills Bty 10-32,A7L1,Razor Energy Corp.,"322",Crude Oil Multiwell Proration Battery,"14647",F,"421",Oil Multi Bty >=1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT8870128,Shell Swan Hills Bty 4-9,A6A7,Cardinal Energy Ltd.,"322",Crude Oil Multiwell Proration Battery,"14996",F,"321",Oil Multi Bty <1t/d,A6A7,Cardinal Energy Ltd.,Active,Facility Licence,./0.png
ABBT8870134,Swan Hills 5-34-66-10w5,0HE9,Canadian Natural Resources Limited,"322",Crude Oil Multiwell Proration Battery,"14523",F,"421",Oil Multi Bty >=1t/d,0HE9,Canadian Natural Resources Limited,Active,Facility Licence,./0.png
ABBT8870140,Chauvco Swan Hills Unit 1,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"14860",F,"321",Oil Multi Bty <1t/d,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABCS0014657,Pengrowth Corporation,0HE9,Canadian Natural Resources Limited,"601",Compressor Station,"14657",F,"440",Compressor Stn >=1t/d,0HE9,Canadian Natural Resources Limited,Active,Facility Licence,./0.png
ABBT0147139,Aspenleaf 04-25-67-09w5,A74X,Aspenleaf Energy Limited,"322",Crude Oil Multiwell Proration Battery,"50260",F,"030",Oil Multi Bty <0.01,A74X,Aspenleaf Energy Limited,Active,Facility Licence,./0.png
ABCS0021443,Pengrowth Corporation,0HE9,Canadian Natural Resources Limited,"601",Compressor Station,"21443",F,"340",Compressor Stn <1t/d,0HE9,Canadian Natural Resources Limited,Abandoned,Facility Licence,./0.png
ABBT0153339,Rbr Deer 01-36-068-09w5 Mwob,A7G2,Ridgeback Resources Inc.,"322",Crude Oil Multiwell Proration Battery,"43208",F,"030",Oil Multi Bty <0.01,A7G2,Ridgeback Resources Inc.,Active,Facility Licence,./0.png
