INCIDEN_NO,INCIDEN_TY,LOCATION,LSD,SECTION,TOWNSHIP,RANGE,MERIDIAN,LICENCE_NO,LICENCE_TY,INCI_DATE,NOTIF_DATE,COMPLE_DAT,SOURCE,CAUSE_CATG,CAUSE_TYPE,FAIL_TYPE,STRIKE_ARE,FIELD_CEN,LIC_BA_ID,LICENSEE,INJURY,FATALITY,JURISD_CAT,JURISDICT,OFFSITE,SENSI_AREA,CSUFILENO,REVIEWCLOS,REVCLOSDES,PUB_AFFECT,ENV_AFFECT,WILD_AFFEC,AREA_AFFEC,PUB_EVACUA,CLEANUP_DA,PIPE_LIC,PIPE_NUM,PIPE_DAMAG,PIPE_FAIL,PIPE_DIAM,PIPE_GRADE,PIPE_THICK,SEG_LENGTH,SEG_STATUS,CROSS_TYPE,PIPE_TYPE,PIP_MATERL,PIPE_MAOP,STRESSLEVL,JOINTMETHD,EXT_COAT,INT_PROTEC,SUB_REL_1,VOL_REL_1,VOL_REC_1,VOL_UNIT_1,SUB_REL_2,VOL_REL_2,VOL_REC_2,VOL_UNIT_2,SUB_REL_3,VOL_REL_3,VOL_REC_3,VOL_UNIT_3,SUB_REL_4,VOL_REL_4,VOL_REC_4,VOL_UNIT_4,SUB_REL_5,VOL_REL_5,VOL_REC_5,VOL_UNIT_5,SUB_REL_6,VOL_REL_6,VOL_REC_6,VOL_UNIT_6,SUB_REL_7,VOL_REL_7,VOL_REC_7,VOL_UNIT_7,icon_url
"19910941",Release,10-30-066-09W5,"10","30","66","9","5",,,1991/06/09,1991/06/09,1991/06/19,Crude Oil Group Battery,Conversion,Conversion,Equipment Failure,SWANH,St. Albert,"0006",Home Oil Company Limited,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1991/06/19,,,,,,,,,,,,,,,,,,Salt/Produced Water,1.00000000000,1.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"19911527",Release,10-30-066-09W5,"10","30","66","9","5","0025398",Well Licence,1991/09/23,1991/09/23,1992/06/29,Service Well,Conversion,Conversion,Equipment Failure,SWANH,St. Albert,0TR8,Shiningbank Energy Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Slave Lake,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1992/06/29,,,,,,,,,,,,,,,,,,Salt/Produced Water,5.00000000000,5.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"19931235",Release,10-30-066-09W5,"10","30","66","9","5",,,1993/07/12,1993/07/12,1993/07/22,Crude Oil Group Battery,Conversion,Conversion,Equipment Failure,SWANH,St. Albert,"0096",Rigel Oil & Gas Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1993/07/22,,,,,,,,,,,,,,,,,,Salt/Produced Water,30.00000000000,25.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"19780801",Release,03-32-066-09W5,"3","32","66","9","5",,,1978/10/21,1978/10/21,1980/04/23,Crude Oil Group Battery,Conversion,Conversion,Valve Failure,SWANH,St. Albert,"0006",Home Oil Company Limited,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1980/04/23,,,,,,,,,,,,,,,,,,Crude Oil,40.00000000000,0.00000000000,m3,Salt/Produced Water,8.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
"19810666",Release,03-32-066-09W5,"3","32","66","9","5","8950",Pipeline Licence,1981/08/02,1981/08/02,1981/08/02,Water Pipeline,Conversion,Conversion,Corrosion At Girth Or Fillet Weld,SWANH,St. Albert,"0096",Rigel Oil & Gas Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,Y,N,,,,Conversion from ENV system,Flowing Water,Conversion from ENV system,Conversion from ENV system,,1981/08/02,"36286","2",Leak,N,88.900000000000006,0X46,4.780000000000000,,Operating,,,,,,,,,Salt/Produced Water,2.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"19810677",Release,03-32-066-09W5,"3","32","66","9","5","8950",Pipeline Licence,1981/08/06,1981/08/06,1981/08/06,Water Pipeline,Conversion,Conversion,Corrosion Internal,SWANH,St. Albert,"0096",Rigel Oil & Gas Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1981/08/06,"36286","2",Leak,N,88.900000000000006,0X46,4.780000000000000,,Operating,,,,,,,,,Fresh Water,20.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"19810681",Release,03-32-066-09W5,"3","32","66","9","5","8950",Pipeline Licence,1981/08/09,1981/08/09,1981/08/10,Water Pipeline,Conversion,Conversion,Corrosion At Girth Or Fillet Weld,SWANH,St. Albert,"0096",Rigel Oil & Gas Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1981/08/10,"36286","2",Leak,Y,60.299999999999997,000B,3.910000000000000,,Operating,,,,,,,,,Fresh Water,1.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"19961037",Release,03-32-066-09W5,"3","32","66","9","5",,,1996/04/21,1996/04/21,1996/07/25,Crude Oil Group Battery,Conversion,Conversion,Equipment Failure,SWANH,St. Albert,"0096",Rigel Oil & Gas Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,N,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1996/07/25,,,,,,,,,,,,,,,,,,Crude Oil,5.00000000000,5.00000000000,m3,Salt/Produced Water,5.00000000000,5.00000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
"20020185",Release,03-32-066-09W5,"3","32","66","9","5","8950",Pipeline Licence,2002/01/16,2002/01/16,2002/01/21,Water Pipeline,Conversion,Conversion,Corrosion Internal,SWANH,St. Albert,0TR8,Shiningbank Energy Ltd.,0.000000000000000,0.000000000000000,,,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,2002/01/21,"36286","2",Leak,N,88.900000000000006,X46,4.770000000000000,0.490000000000000,Operating,,5LX,Steel,2070.000000000000000,,Welded,,Yes,Salt/Produced Water,8.00000000000,8.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20051905",Release,03-32-066-09W5,"3","32","66","9","5","8949",Pipeline Licence,2005/08/10,2005/08/10,2005/09/12,Water Pipeline,Equipment Failure,Internal corrosion,Corrosion Internal,SWANH,St. Albert,0Z2Z,Celtic Exploration ULC,,,Crown,Crown Any Area,N,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,2005/08/12,"36284","1",Leak,Y,88.900000000000006,B,5.490000000000000,1.820000000000000,Operating,,UUUUUU,Steel,6895.000000000000000,"0",Welded,Polyurethane,Uncoated,Salt/Produced Water,3.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20051944",Release,03-32-066-09W5,"3","32","66","9","5","8949",Pipeline Licence,2005/08/13,2005/08/14,2005/09/26,Water Pipeline,Equipment Failure,Internal corrosion,Corrosion Internal,SWANH,St. Albert,0Z2Z,Celtic Exploration ULC,0.000000000000000,0.000000000000000,Crown,Crown Any Area,N,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0.000000000000000,2005/08/15,"36284","1",Leak,Y,88.900000000000006,B,5.490000000000000,1.820000000000000,Operating,,UUUUUU,Steel,6895.000000000000000,"0",Welded,Polyurethane,Uncoated,Fresh Water,0.10000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20052706",Release,03-32-066-09W5,"3","32","66","9","5","14507",Facility Licence,2005/11/07,2005/11/08,2005/11/09,Crude Oil Group Battery,Equipment Failure,Malfunction,Hi Level Switch,SWANH,St. Albert,0Z2Z,Celtic Exploration ULC,,,Crown,Crown Any Area,N,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,2005/11/09,,,,,,,,,,,,,,,,,,Crude Oil,10.00000000000,10.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20080806",Release,03-32-066-09W5,"3","32","66","9","5","14507",Facility Licence,2008/03/27,2008/03/27,2008/03/31,Crude Oil Group Battery,Equipment Failure,Mechanical/Strctural,Equipment Failure,SWANH,St. Albert,0Z2Z,Celtic Exploration ULC,,,Crown,Crown Any Area,N,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,2008/03/27,,,,,,,,,,,,,,,,,,Salt/Produced Water,12.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20162238",Release,03-32-066-09W5,"3","32","66","9","5","14507",Facility Licence,2016/08/09,2016/08/09,2017/01/17,Crude Oil Group Battery,Procedural or Design,Construction,Fire,SWANH,St. Albert,A74X,Aspenleaf Energy Limited,0.000000000000000,0.000000000000000,Crown,Crown Any Area,N,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0.000000000000000,2016/08/10,,,,,,,,,,,,,,,,,,Condensate,0.40000000000,0.40000000000,m3,Crude Oil,0.10000000000,0.10000000000,m3,Fresh Water,0.00000000000,14.50000000000,m3,,,,,,,,,,,,,,,,,./0.png
"19981760",Release,05-32-066-09W5,"5","32","66","9","5",,,1998/06/22,1998/06/22,1998/07/03,Crude Oil Group Battery,Conversion,Conversion,Equipment Failure,SWANH,St. Albert,0TR8,Shiningbank Energy Ltd.,0.000000000000000,0.000000000000000,,,Y,N,,,,Conversion from ENV system,Flowing Water,Conversion from ENV system,Conversion from ENV system,,1998/07/03,,,,,,,,,,,,,,,,,,Crude Oil,0.50000000000,0.50000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20062668",Release,11-32-066-09W5,"11","32","66","9","5","8950",Pipeline Licence,2006/10/26,2006/10/26,2007/01/03,Water Pipeline,Equipment Failure,Internal corrosion,Corrosion Internal,SWANH,St. Albert,0Z2Z,Celtic Exploration ULC,,,Crown,Crown Any Area,Y,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,2006/10/27,"36287","3",Leak,N,88.900000000000006,B,5.490000000000000,1.620000000000000,Operating,,5L,Steel,2070.000000000000000,"7",Welded,Polyethylene tape,Uncoated,Salt/Produced Water,3.00000000000,2.90000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"19952195",Release,14-32-066-09W5,"14","32","66","9","5","0016755",Well Licence,1995/09/12,1995/09/12,1995/09/26,Service Well,Conversion,Conversion,Valve Failure,SWANH,St. Albert,0TR8,Shiningbank Energy Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1995/09/26,,,,,,,,,,,,,,,,,,Salt/Produced Water,1.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20061529",Release,14-32-066-09W5,"14","32","66","9","5","0016755",Well Licence,2006/06/21,2006/06/21,2006/06/21,Service Well,Equipment Failure,Malfunction,Equipment Failure,SWANH,St. Albert,0Z2Z,Celtic Exploration ULC,,,Crown,Crown Any Area,Y,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,2006/06/21,,,,,,,,,,,,,,,,,,Salt/Produced Water,2.00000000000,1.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"19961752",Release,11-33-066-09W5,"11","33","66","9","5","12192",Pipeline Licence,1996/07/24,1996/07/24,1997/07/21,Multiphase Pipeline,Conversion,Conversion,Girth Weld Failure,SWANH,St. Albert,"0096",Rigel Oil & Gas Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,Y,N,,,,Conversion from ENV system,Flowing Water,Conversion from ENV system,Conversion from ENV system,,1997/07/21,"57394","4",Rupture,N,88.900000000000006,B,4.780000000000000,,Operating,,5L,Steel,4140.000000000000000,"16",Welded,,Uncoated,Crude Oil,1.00000000000,0.00000000000,m3,Salt/Produced Water,7.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
"19770080",Release,12-34-066-09W5,"12","34","66","9","5","0036610",Well Licence,1977/01/16,1977/01/16,1978/09/15,Oil Well,Conversion,Conversion,Stuffing Box,SWANH,St. Albert,0TR8,Shiningbank Energy Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1978/09/15,,,,,,,,,,,,,,,,,,Crude Oil,2.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20052242",Release,12-34-066-09W5,"12","34","66","9","5","0036610",Well Licence,2005/09/18,2005/09/19,2005/09/20,Oil Well,Equipment Failure,Malfunction,Stuffing Box,SWANH,St. Albert,0Z2Z,Celtic Exploration ULC,,,Crown,Crown Any Area,N,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,2005/09/19,,,,,,,,,,,,,,,,,,Crude Oil,2.00000000000,12.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20080809",Release,16-19-066-10W5,"16","19","66","10","5","9353",Pipeline Licence,2008/03/27,2008/03/27,2008/06/24,Multiphase Pipeline,Equipment Failure,External corrosion,Corrosion External,SWANH,St. Albert,0K29,Devon Canada Corporation,,,Crown,Crown Any Area,N,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,2008/03/27,"39468","11",Leak,N,88.900000000000006,"2901",4.800000000000000,2.030000000000000,Operating,,Z245.1,Steel,9000.000000000000000,"29",Welded,YJ,Uncoated,Crude Oil,0.10000000000,0.10000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20070953",Release,10-20-066-10W5,"10","20","66","10","5","9353",Pipeline Licence,2007/04/10,2007/04/10,2007/04/19,Multiphase Pipeline,Equipment Failure,External corrosion,Corrosion External,SWANH,St. Albert,0K29,Devon Canada Corporation,,,Crown,Crown Any Area,N,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,2007/04/10,"39469","12",Leak,N,88.900000000000006,"2901",4.800000000000000,0.970000000000000,Operating,,Z245.1,Steel,9000.000000000000000,"29",Welded,Fusion bonded epoxy,Uncoated,Crude Oil,0.50000000000,0.40000000000,m3,Salt/Produced Water,1.00000000000,0.90000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
"19942827",Release,14-20-066-10W5,"14","20","66","10","5","9353",Pipeline Licence,1994/09/05,1994/09/05,1994/09/05,Multiphase Pipeline,Conversion,Conversion,Corrosion External,SWANH,St. Albert,"0006",Home Oil Company Limited,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,N,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1994/09/05,"39469","12",Rupture,N,88.900000000000006,"2901",4.800000000000000,0.970000000000000,Operating,,Z245.1,Steel,9000.000000000000000,"29",Welded,,Uncoated,Crude Oil,0.10000000000,0.10000000000,m3,Salt/Produced Water,0.90000000000,0.90000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
"20001994",Release,14-20-066-10W5,"14","20","66","10","5","14573",Pipeline Licence,2000/08/15,2000/08/15,2000/09/06,Water Pipeline,Conversion,Conversion,Corrosion External,SWANH,St. Albert,"0006",Home Oil Company Limited,0.000000000000000,0.000000000000000,,,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,2000/09/06,"68091","81",Leak,N,114.299999999999997,"3591",4.800000000000000,1.070000000000000,Operating,,Z245.1,Steel,20680.000000000000000,,Welded,,Expanded Poly,Salt/Produced Water,5.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
