X,Y,X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,auxiliary_,icon_url
-115.476012,55.010524,,,0006435A,Shell Canada Limited(0T03),55.010523999999997,-115.476011999999997,797.000000000000000,817.200000000000045,01:32:06.000,BWL,J,RecExempt,22 May 1953,,,./0.png
-115.552262,55.039593,,,0006435B,Shell Canada Limited(0T03),55.039593000000004,-115.552261999999999,974.000000000000000,993.799999999999955,01:11:07.000,BWL,J,RecExempt,22 May 1953,,,./0.png
-115.583926,55.050431,,,0006435C,Shell Canada Limited(0T03),55.050431000000003,-115.583926000000005,1105.000000000000000,1168.599999999999909,16:10:07.000,BWL,J,RecExempt,11 Feb 1953,,,./0.png
-115.591137,55.12715,,,0006435D,Shell Canada Limited(0T03),55.127150000000000,-115.591137000000003,839.000000000000000,825.100000000000023,13:02:07.000,BWL,J,RecExempt,22 May 1953,,,./0.png
-115.526534,55.039578,,,0006435E,Shell Canada Limited(0T03),55.039577999999999,-115.526533999999998,905.000000000000000,884.299999999999955,13:06:07.000,BWL,J,RecExempt,22 May 1953,,,./0.png
-115.268227,55.101432,,,0006615A,Gulf Canada Limited(0002),55.101432000000003,-115.268226999999996,775.000000000000000,0.900000000000000,05:35:07.000,BWL,J,RecExempt,04 Jul 1953,,,./0.png
-115.218731,55.099816,,,0006615B,Gulf Canada Limited(0002),55.099815999999997,-115.218731000000005,874.000000000000000,0.900000000000000,04:31:07.000,BWL,J,RecExempt,04 Jul 1953,,,./0.png
-115.294743,55.067741,,,0006615C,Gulf Canada Limited(0002),55.067740999999998,-115.294742999999997,718.000000000000000,0.900000000000000,13:15:07.000,BWL,J,RecExempt,04 Jul 1953,,,./0.png
-115.569751,55.151249,,,"0007520","White, J.B.(0G66)",55.151249000000000,-115.569750999999997,802.799999999999955,799.799999999999955,09:14:07.000,BWL,J,RecExempt,10 Jan 1954,,,./0.png
-115.440169,54.88282,,,0011519A,Regent Refining (canada) Limited(0C12),54.882820000000002,-115.440168999999997,914.700000000000045,914.700000000000045,03:15:06.000,BWL,J,RecExempt,28 Feb 1956,,,./0.png
-115.40371,54.858906,,,0011519B,Regent Refining (canada) Limited(0C12),54.858905999999998,-115.403710000000004,994.600000000000023,994.600000000000023,09:02:06.000,BWL,J,RecExempt,29 Feb 1956,,,./0.png
-115.526703,54.903658,,,0011519C,Regent Refining (canada) Limited(0C12),54.903658000000000,-115.526702999999998,1168.000000000000000,1145.400000000000091,12:19:06.000,BWL,J,RecExempt,22 Feb 1956,,,./0.png
-115.526885,54.868435,,,0011519D,Regent Refining (canada) Limited(0C12),54.868434999999998,-115.526884999999993,970.799999999999955,970.799999999999955,01:12:06.000,BWL,J,RecExempt,07 Mar 1956,,,./0.png
-115.51807,54.821671,,,0011519E,Regent Refining (canada) Limited(0C12),54.821671000000002,-115.518069999999994,1073.200000000000045,1073.200000000000045,03:30:06.000,BWL,J,RecExempt,09 Mar 1956,,,./0.png
-115.517695,54.80319,,,0011519F,Regent Refining (canada) Limited(0C12),54.803190000000001,-115.517695000000003,996.399999999999977,996.399999999999977,11:18:06.000,BWL,J,RecExempt,12 Mar 1956,,,./0.png
-115.520212,54.783501,,,0011519G,Regent Refining (canada) Limited(0C12),54.783501000000001,-115.520212000000001,1131.000000000000000,1103.400000000000091,06:07:06.000,BWL,J,RecExempt,14 Mar 1956,,,./0.png
-115.781097,54.81242,,,0011663A,Shell Canada Limited(0T03),54.812420000000003,-115.781097000000003,1210.200000000000045,1210.200000000000045,08:20:06.000,BWL,J,RecExempt,29 Jun 1956,,,./0.png
-115.753289,54.827744,,,0011663B,Shell Canada Limited(0T03),54.827744000000003,-115.753288999999995,1181.200000000000045,1181.200000000000045,05:27:06.000,BWL,J,RecExempt,29 Jun 1956,,,./0.png
-115.612405,54.990444,,,"0012647",Paramount Resources Ltd.(0AW4),54.990443999999997,-115.612404999999995,965.000000000000000,961.600000000000023,10:21:06.000,BWL,J,RecExempt,08 Jan 1957,,,./0.png
-115.339668,54.990452,,,"0012794",Paramount Resources Ltd.(0AW4),54.990451999999998,-115.339668000000003,822.000000000000000,818.700000000000045,11:20:06.000,BWL,J,RecExempt,17 Jan 1957,,,./0.png
-115.402904,54.87029,,,"0012920",Acquisition Oil Corp.(A7N3),54.870289999999997,-115.402904000000007,970.200000000000045,966.200000000000045,08:11:06.000,BWL,J,Suspension,28 Dec 2006,,,
-115.517833,54.815917,,,"0013264",Canadian Natural Resources Limited(0HE9),54.815916999999999,-115.517832999999996,1066.799999999999955,1062.500000000000000,11:19:06.000,BWL,J,Issued,03 Apr 1957,,,
-115.77383,54.90334,,,0014403E,Shell Canada Limited(0T03),54.903340000000000,-115.773830000000004,1089.000000000000000,1086.000000000000000,11:21:06.000,BWL,J,RecExempt,05 Feb 1958,,,./0.png
-115.724939,54.898255,,,0014403F,Shell Canada Limited(0T03),54.898254999999999,-115.724939000000006,1085.000000000000000,1096.099999999999909,05:23:06.000,BWL,J,RecExempt,09 Feb 1958,,,./0.png
-115.498368,54.808786,,,"0014408",Canadian Natural Resources Limited(0HE9),54.808785999999998,-115.498367999999999,1010.100000000000023,1006.399999999999977,04:20:06.000,BWL,J,Suspension,07 Jul 2010,,,
-115.821991,54.84103,,,"0014450",Shell Canada Limited(0T03),54.841030000000003,-115.821990999999997,1326.200000000000045,1322.200000000000045,06:31:06.000,BWL,J,RecExempt,09 Mar 1958,,,./0.png
