X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,auxiliary_,icon_url
,,"0015986",Paramount Resources Ltd.(0AW4),55.077482000000003,-115.308006000000006,669.600000000000023,666.000000000000000,10:21:07.000,BWL,J,RecExempt,12 Nov 1958,,,./0.png
,,"0023816",Acquisition Oil Corp.(A7N3),54.881813000000001,-115.434088000000003,882.200000000000045,875.600000000000023,02:15:06.000,BWL,J,Amended,25 Aug 2000,,,./0.png
,,"0023816",Acquisition Oil Corp.(A7N3),54.881813000000001,-115.434088000000003,882.200000000000045,875.600000000000023,02:15:06.000,BWL,J,Amended,25 Aug 2000,,,./0.png
,,"0025477",Razor Energy Corp.(A7L1),54.859479000000000,-115.332503000000003,853.700000000000045,849.200000000000045,10:05:06.000,BWL,J,Suspension,20 Jan 2015,,,./0.png
,,"0025477",Razor Energy Corp.(A7L1),54.859479000000000,-115.332503000000003,853.700000000000045,849.200000000000045,10:05:06.000,BWL,J,Suspension,20 Jan 2015,,,./0.png
,,"0025587",Husky Oil Operations Limited(0R46),54.902748000000003,-115.306752000000003,804.399999999999977,800.100000000000023,10:21:06.000,BWL,J,RecExempt,31 Dec 1998,,,./0.png
,,"0025647",Cardinal Energy Ltd.(A6A7),54.997627000000001,-115.293436999999997,724.799999999999955,720.500000000000000,04:27:06.000,BWL,J,Suspension,29 Dec 2006,,,./0.png
,,"0025687",Razor Energy Corp.(A7L1),54.874073000000003,-115.333686999999998,839.700000000000045,836.100000000000023,10:08:06.000,BWL,J,Suspension,13 Jun 2017,,,./0.png
,,"0026227",Cardinal Energy Ltd.(A6A7),55.034179999999999,-115.409182999999999,736.100000000000023,736.100000000000023,10:02:07.000,BWL,J,Issued,08 Jun 1964,,,./0.png
,,"0026308",Cardinal Energy Ltd.(A6A7),55.034182999999999,-115.421700999999999,742.200000000000045,742.200000000000045,12:02:07.000,BWL,J,Issued,22 Jun 1964,,,./0.png
,,"0026456",Cardinal Energy Ltd.(A6A7),55.034379000000001,-115.434278000000006,751.600000000000023,751.600000000000023,10:03:07.000,BWL,J,Issued,10 Jul 1964,,,./0.png
,,"0027273",Cardinal Energy Ltd.(A6A7),54.983074999999999,-115.307817000000000,735.799999999999955,732.100000000000023,02:21:06.000,BWL,J,Abandoned,18 Mar 2004,,,./0.png
,,"0028117",Cardinal Energy Ltd.(A6A7),55.034177999999997,-115.396482000000006,728.200000000000045,728.200000000000045,12:01:07.000,BWL,J,Abandoned,02 Feb 2019,,,./0.png
